Words,Pronunciation
اخیل,A X I_I L
اخینوس,A X I_I N O_O S
اد,A D_D
ادآد,A D_D A_A D_D
ادا,A D_D A_A
اداؤ,A D_D A_A O_O
اداؤں,A D_D A_A U_U_N
ادائگی,A D_D A_A I G I_I
ادائگیاں,A D_D A_A I G I J A_A_N
ادائی,A D_D A_A I_I
ادائیات,A D_D A_A I_I J A_A T_D
ادائیاں,A D_D A_A I J A_A_N
ادائیوں,A D_D A_A I_I O_O_N
ادائیگی,A D_D A_A I_I G I_I
ادائیگیاں,A D_D A_A I_I G I J A_A_N
ادائیگیوں,A D_D A_A I_I G I_I O_O_N
ادائیں,A D_D A_A A_Y_N
ادائے,A D_D A_A A_Y
ادابند,A D_D A_A B A N D_D
ادابندی,A D_D A_A B A N D_D I_I
ادات,I D_D A_A T_D
اداتی,I D_D A_A T_D I_I
ادادی,A D_D A_A D_D I_I
ادار,I D_D A_A R
ادارات,I D_D A_A R A_A T_D
ادارت,I D_D A_A R A T_D
ادارتا,I D_D A_A R A T_D A N
ادارتی,I D_D A_A R A T_D I_I
ادارجات,I D_D A_A R D_Z A_A T_D
اداروں,I D_D A_A R O_O_N
ادارہ,I D_D A_A R A_A
اداریوں,I D_D A_A R I_I O_O_N
اداریہ,I D_D A_A R I J A_A
اداریے,I D_D A_A R I_I A_Y
ادارے,I D_D A_A R A_Y
اداس,U D_D A_A S
اداسی,U D_D A_A S I_I
اداسیاں,U D_D A_A S I_I A_A_N
اداسیوں,U D_D A_A S I_I O_O_N
اداشناس,A D_D A_A S_H N A_A S
ادالہ,A D_D A_A L A_A
ادام,I D_D A_A M
ادان,A D_D A_A N
ادانت,A D_D A_A N A T_D
ادانہ,A D_D A_A N A_A
ادانی,A D_D A_A N I_I
اداکار,A D_D A_A K A_A R
اداکارائیں,A D_D A_A K A_A R A_A A_Y_N
اداکاراوں,A D_D A_A K A_A R A_A O_O_N
اداکاروں,A D_D A_A K A_A R O_O_N
اداکارہ,A D_D A_A K A_A R A_A
اداکاری,A D_D A_A K A_A R I_I
اداہ,A D_D A_A
اداہرن,A D_D A_A H A R N
اداہٹ,A D_D A_A H A T
ادایات,I D_D A_A J A_A T_D
ادب,A D_D A B
ادبا,A D_D B A N
ادباء,A D_D A B A_A
ادبار,A D_D B A_A R
ادبد,A D_D A B A D_D
ادبدا,A D_D A B D_D A_A
ادبللا,A D_D A B L A L A_A
ادبوں,A D_D A B O_O_N
ادبھت,A D_D A B_H A T_D
ادبی,A D_D A B I_I
ادبیات,A D_D A B I_I J A_A T_D
ادبیت,A D_D A B I_I J A T_D
ادبیہ,A D_D A B I_I J A_A
ادت,I D_D A T_D
ادخال,I D_D X A_A L
ادخالی,I D_D X A_A L I_I
ادخنہ,A D_D X A N A_A
ادخچہ,A D_D X A T_S A_A
ادر,U D_D A R
ادراج,I D_D R A_A D_Z
ادراجی,I D_D R A_A D_Z I_I
ادرار,I D_D R A_A R
ادرافوس,A D_D R A_A F O_O S
ادراک,I D_D R A_A K
ادراکات,I D_D R A_A K A_A T_D
ادراکی,I D_D R A_A K I_I
ادراکیہ,I D_D R A_A K I_I J A_A
ادرسا,U D_D R A S A_A
ادرک,A D_D R U K
ادرکنی,A D_D A R K A N I_I
ادرکی,A D_D A R K I_I
ادرہ,A D_D R A_A
ادریس,I D_D R A_E S
ادشٹ,A D_D S_H A T
ادعا,I D_D A N
ادعائی,A D_D A_A I_I
ادعائیت,A D_D A_A I J A T_D
ادعج,A D_D A D_Z
ادعیات,I D_D D_D A_A A T_D
ادعیہ,A D_D I J A_A
ادغام,I D_D G_G A_A M
ادق,A D_D A Q
ادقچہ,A D_D Q A T_S A_A
ادل,A D_D A L
ادلا,A D_D L A N
ادلاع,I D_D L A_A
ادلال,A D_D L A_A L
ادلہ,A D_D L A_A
ادما,A D_D M A_A
ادماء,A D_D M A_A
ادمات,A D_D M A_A T_D
ادماتی,I D_D M A_A T_D I_I
ادمال,I D_D M A_A L
ادمان,A D_D M A_A N
ادمغہ,A D_D M A G_G A_A
ادمڑا,A D_D M A R_R A_A
ادمڑی,A D_D M A R_R I_I
ادمہ,A D_D M A_A
ادمی,A D_D M I_I
ادمیت,A D_D M I_I J A T_D
ادمیں,A D_D A M A_Y_N
ادمیہ,A D_D M I J A_A
ادنتری,A D_D N T_D R I_I
ادنہ,A D_D N A_A
ادنی,A D_D N I_I
ادوائن,A D_D V A_A I N
ادوائنوں,A D_D V A_A I N O_O_N
ادوائنیں,A D_D V A_A I N A_Y_N
ادوات,I D_D V A_A T_D
ادوار,I D_D V A_A R
ادوان,A D_D V A_A N
ادوانیں,A D_D V A_A N A_Y_N
ادوسی,A D_D U_U S I_I
ادون,A D_D U_U N
ادویات,A D_D V I J A_A T_D
ادویت,A D_D V I J A T_D
ادویہ,A D_D V I J A_A
ادک,A D_D A K
ادکارہ,A D_D K A_A R A_A
ادکاری,A D_D K A_A R I_I
ادھ,U D_D_H
ادھا,A D_D_H D_D_H A_A
ادھار,U D_D_H A_A R
ادھارا,U D_D_H A_A R A_A
ادھاری,U D_D_H A_A R I_I
ادھاریا,U D_D_H A_A R I J A_A
ادھارے,U D_D_H A_A R A_Y
ادھال,U D_D_H A_A L
ادھالیں,U D_D_H A_A L A_Y_N
ادھان,A D_D_H A_A N
ادھبھوت,A D_D_H B_H U_U T_D
ادھترا,U D_D_H A T_D R A_A
ادھر,U D_D_H A R
ادھراج,A D_D_H R A_A D_Z
ادھراجیہ,A D_D_H R A_A D_Z I_I J A_A
ادھرم,A D_D_H A R M
ادھرمی,U D_D_H A R M I_I
ادھرنگ,U D_D_H R A N_G
ادھرنگا,U D_D_H A R N_G G A_A
ادھرنگی,U D_D_H A R N_G A G I_I
ادھرنگے,U D_D_H A R N_G G A_Y
ادھرکا,U D_D_H A R K A_A
ادھرکی,U D_D_H A R K I_I
ادھم,U D_D_H A M
ادھما,U D_D_H U M A_A
ادھمی,U D_D_H A M I_I
ادھن,A D_D_H A N
ادھنا,U D_D_H N A_A
ادھنت,A D_D_H A N T_D
ادھنتر,A D_D_H A N T_D A R
ادھوتر,A D_D_H U_U T_D A R
ادھور,A D_D_H U_U R
ادھورا,A D_D_H U_U R A_A
ادھوروں,A D_D_H U_U R O_O_N
ادھوری,A D_D_H U_U R I_I
ادھورے,A D_D_H U_U R A_Y
ادھوڑی,A D_D_H O_O R_R I_I
ادھوکا,A D_D_H U_U K A_A
ادھڑ,U D_D_H A R_R
ادھڑا,U D_D_H R_R A_A
ادھڑائی,U D_D_H R_R A_A I_I
ادھڑائیاں,U D_D_H R_R A_A I J A_A_N
ادھڑتا,U D_D_H A R_R T_D A_A
ادھڑتی,U D_D_H A R_R T_D I_I
ادھڑتیں,U D_D_H A R_R T_D I_I_N
ادھڑتے,U D_D_H A R_R T_D A_Y
ادھڑنا,U D_D_H A R_R N A_A
ادھڑنی,U D_D_H A R_R N I_I
ادھڑنے,U D_D_H A R_R N A_Y
ادھڑو,U D_D_H R_R O_O
ادھڑوں,U D_D_H R_R O_O_N
ادھڑی,U D_D_H R_R I_I
ادھڑیو,U D_D_H R_R I_I O_O
ادھڑیں,U D_D_H R_R A_Y_N
ادھڑیے,U D_D_H R_R I_I A_Y
ادھڑے,U D_D_H R_R A_Y
ادھک,U D_D_H A K
ادھکار,U D_D_H K A_A R
ادھکاری,U D_D_H K A_A R I_I
ادھیاتم,A D_D_H J A_A T_D A M
ادھیاتمک,A D_D_H J A_A T_D U M A K
ادھیار,U D_D_H J A_A R
ادھیاری,U D_D_H J A_A R I_I
ادھیراج,A D_D_H I_I R A_A D_Z
ادھیل,A D_D_H I_I L
ادھیلا,U D_D_H A_Y L A_A
ادھیلچہ,A D_D_H A_Y L T_S A_A
ادھیلی,U D_D_H A_Y L I_I
ادھیلیا,U D_D_H A_Y L I J A_A
ادھین,A D_D_H D_D_H I_I N
ادھیٹ,A D_D_H I_I T
ادھیڑ,U D_D_H A_Y R_R
ادھیڑا,U D_D_H A_Y R_R A_A
ادھیڑتا,U D_D_H A_Y R_R T_D A_A
ادھیڑتی,U D_D_H A_Y R_R T_D I_I
ادھیڑتیں,U D_D_H A_Y R_R T_D I_I_N
ادھیڑتے,U D_D_H A_Y R_R T_D A_Y
ادھیڑنا,U D_D_H A_Y R_R N A_A
ادھیڑنی,U D_D_H A_Y R_R N I_I
ادھیڑنے,U D_D_H A_Y R_R N A_Y
ادھیڑو,U D_D_H A_Y R_R O_O
ادھیڑوں,U D_D_H A_Y R_R O_O_N
ادھیڑی,U D_D_H A_Y R_R I_I
ادھیڑیو,U D_D_H A_Y R_R I_I O_O
ادھیڑیں,U D_D_H A_Y R_R A_Y_N
ادھیڑیے,U D_D_H A_Y R_R I_I A_Y
ادھیڑے,U D_D_H A_Y R_R A_Y
ادہان,I D_D H A_A N
ادہم,A D_D H A M
ادہمی,A D_D H A M I_I
ادی,A D_D I_I
ادیان,A D_D J A_A N
ادیاں,U D_D J A_A_N
ادیب,A D_D I_I B
ادیبانہ,A D_D I_I B A_A N A_A
ادیبوں,A D_D I_I B O_O_N
ادیبہ,A D_D I_I B A_A
ادیت,A D_D I_I T_D
ادیتہ,A D_D I_I T_D A_A
ادیس,U D_D D_D I_I S
ادیم,A D_D I_I M
ادیوگ,A D_D J O_O G
ادیک,A D_D I_I K
ادیکھ,A D_D I_I K_H
ادیکھا,A D_D A_Y K_H A_A
ادیکھی,A D_D I_I K_H I_I
ادیکھے,A D_D A_Y K_H A_Y
ادیکیا,A D_D I_I K I J A_A
ادے,I D_D D_D A_Y
اذا,A Z A_A
اذابت,A Z A_A B A T_D
اذاعت,I Z A_A A T_D
اذالت,A Z A_A L A T_D
اذالہ,A Z A_A L A_A
اذان,A Z A_A N
اذانوں,A Z A_A N O_O_N
اذانیں,A Z A_A N A_Y_N
اذاں,A Z A_A_N
اذخر,A Z X A R
اذدہا,A Z D_D A H A_A
اذرنگ,A Z R A N_G
اذعان,A Z A_A N
اذعانی,A Z A_A N I_I
اذعانیت,A Z A_A N I_I J A T_D
اذفر,A Z F A R
اذفیرین,A Z F I_I R I_I N
اذقان,A Z Q A_A N
اذلاق,A Z L A_A Q
اذلہ,A Z L A_A
اذلی,A Z L I_I
اذما,A Z M A_A
اذمہ,A Z M A_A
اذن,A Z N
اذنی,A Z N I_I
اذنیی,A Z N I_I
اذوا,A Z V A_A
اذواق,A Z V A_A Q
اذوقہ,A Z V A Q A_A
اذکار,A Z K A_A R
اذکہ,A Z K A_A
اذکی,A Z K I_I
اذکیا,A Z K I J A_A
اذکیہ,A Z K I J A_A
اذہاب,A Z H A_A B
اذہان,A Z H A_A N
اذی,A Z I_I
اذیال,A Z J A_A L
اذیت,A Z I_I J A T_D
اذیتوں,A Z I_I J A T_D O_O_N
اذیتیں,A Z I_I J A T_D A_Y_N
اذین,A Z I_I N
ار,A R
ارئی,A R I_I
ارا,A R A_A
اراءت,I R A_A A T_D
ارائش,A R A_A I S_H
ارائشی,A R A_A I S_H I_I
ارائشیں,A R A_A I S_H A_Y_N
ارائک,A R A_A I K
ارابا,A R A_A B A_A
ارابچی,A R A_A B T_S I_I
ارابہ,A R A_A B A_A
اراجیڑ,A R A_A D_Z I_I R_R
اراحت,I R A_A H A T_D
ارادا,I R A_A D_D A_A
ارادت,I R A_A D_D A T_D
ارادتا,I R A_A D_D A T_D A N
ارادتیں,I R A_A D_D A T_D A_Y_N
ارادوں,I R A_A D_D O_O_N
ارادہ,I R A_A D_D A_A
ارادی,I R A_A D_D I_I
ارادیت,I R A_A D_D I_I J A T_D
ارادیہ,I R A_A D_D I_I J A_A
ارادے,I R A_A D_D A_Y
اراذل,A R A_A Z A L
اراراط,A R A_A R A_A T_D
اراراہٹ,A R A_A R A_A H A T
اراروٹ,A R A_A R U_U T
اراستہ,A R A_A S T_D A_A
اراضی,A R A_A Z I_I
اراضیات,A R A_A Z I_I J A_A T_D
اراضیاں,A R A_A Z I_I J A_A_N
اراقات,I R A_A Q A_A T_D
اراقت,I R A_A Q A T_D
ارامل,A R A_A M I L
ارانا,A R A_A N A_A
ارانب,A R A_A M I B
اراٹا,A R A_A T A_A
اراک,A R A_A K
اراکنہ,A R A_A K I N A_A
اراکین,A R A_A K I_I N
ارب,A R A B
ارباب,A R B A_A B
ارباز,A R B A_A Z
ارباص,A R B A_A S
اربد,A R B A D_D
اربرا,A R B A R A_A
اربسی,A R B A S I_I
اربع,A R B A_A
اربعا,A R B A A_A
اربعہ,A R B A A_A
اربعی,A R B A I_I
اربعین,A R B A Y I_I N
اربل,A R B A L
اربن,A R B A N
اربند,A R B A N D_D
اربوں,A R A B O_O_N
اربکہ,A R A B K A_A
اربھئی,A R A B_H I_I
ارت,A R T_D
ارتاخ,I R T_D A_A X
ارتاش,I R T_D A_A S_H
ارتباط,I R T_D I B A_A T_D
ارتباع,I R T_D I B A_A
ارتباعا,I R T_D I B A_A A N
ارتباعی,I R T_D A B A_A I_I
ارتباعیت,I R T_D I B A_A I_I J A T_D
ارتجاج,I R T_D I D_Z A_A D_Z
ارتجاجا,I R T_D I D_Z A_A D_Z A N
ارتجاجی,I R T_D I D_Z A_A D_Z I_I
ارتجاجیت,I R T_D I D_Z A_A D_Z I_I J A T_D
ارتجاع,I R T_D I D_Z A_A
ارتجاعا,I R T_D I D_Z A_A A N
ارتجاعی,I R T_D I D_Z A_A I_I
ارتجاعیت,I R T_D I D_Z A_A I J A T_D
ارتجال,I R T_D I D_Z A_A L
ارتجالا,I R T_D I D_Z A_A L A N
ارتجالی,I R T_D A D_Z A_A L I_I
ارتجالیت,I R T_D A D_Z A_A L I_I J A T_D
ارتحال,I R T_D A_Y H A_A L
ارتحالا,I R T_D A H A_A L A N
ارتحالی,I R T_D I H A_A L I_I
ارتحالیت,I R T_D A H A_A L I_I J A T_D
ارتداد,I R T_D A D_D A_A D_D
ارتدادا,I R T_D A_Y D_D A_A D_D A_A
ارتدادی,I R T_D A D_D A_A D_D I_I
ارتدادیت,I R T_D A D_D A_A D_D I_I J A T_D
ارتسام,I R T_D I S A_A M
ارتساما,I R T_D I S A_A M A N
ارتسامی,I R T_D I S A_A M I_I
ارتسامیت,I R T_D I S A_A M I_I J A T_D
ارتشا,I R T_D I S_H A_A
ارتشاء,I R T_D I S_H A_A
ارتشائی,I R T_D I S_H A_A I_I
ارتشائیت,I R T_D I S_H A_A I J A T_D
ارتشاح,I R T_D I S_H A_A
ارتشاحا,I R T_D I S_H A_A H A N
ارتشاحی,I R T_D I S_H A_A H I_I
ارتشاحیت,I R T_D I S_H A_A H I J A T_D
ارتصاد,I R T_D A S A_A D_D
ارتصادا,I R T_D A S A_A D_D A N
ارتصادی,I R T_D A S A_A D_D I_I
ارتصادیت,I R T_D A S A_A D_D I_I J A T_D
ارتضا,I R T_D A Z A_A
ارتضی,A R T_D A Z I_I
ارتعاش,I R T_D A A_A S_H
ارتعاشی,I R T_D I A_A S_H I_I
ارتفاع,I R T_D I F A_A
ارتفاعا,I R T_D I F A_A A N
ارتفاعات,I R T_D I F A_A A_A T_D
ارتفاعی,I R T_D I F A_A I_I
ارتفاعیت,I R T_D I F A_A I J A T_D
ارتفاق,I R T_D A F A_A Q
ارتفاقا,I R T_D I F A_A Q A N
ارتفاقات,I R T_D I F A_A Q A_A T_D
ارتفاقی,I R T_D A F A_A Q I_I
ارتفاقیت,I R T_D A F A_A Q I_I J A T_D
ارتفی,A R T_D A F I_I
ارتقا,I R T_D A Q A_A
ارتقاء,I R T_D A Q A_A
ارتقائی,I R T_D A Q A_A I_I
ارتقائیت,I R T_D A Q A_A I_I J A T_D
ارتلا,A R T_D A L A_A
ارتماس,I R T_D A M A_A S
ارتماسا,I R T_D I M A_A S A_A
ارتماسات,I R T_D I M A_A S A_A T_D
ارتماسی,I R T_D A M A_A S I_I
ارتماسیت,I R T_D A M A_A S I_I J A T_D
ارتنگ,A R T_D A N_G
ارتنگی,A R T_D A N_G G I_I
ارتک,A R T_D A K
ارتکاب,I R T_D I K A_A B
ارتکاز,I R T_D A K A_A Z
ارتکازا,I R T_D A K A_A Z A N
ارتکازات,I R T_D A K A_A Z A_A T_D
ارتکازوں,I R T_D A K A_A Z O_O_N
ارتکازی,I R T_D A K A_A Z I_I
ارتکازیت,I R T_D K A_A Z I_I J A T_D
ارتکاس,I R T_D A K A_A S
ارتکاسا,I R T_D A K A_A S A_A
ارتکاسات,I R T_D A K A_A S A_A T_D
ارتکاسی,I R T_D A K A_A S I_I
ارتکاسیت,I R T_D A K A_A S I_I J A T_D
ارتکاض,I R T_D A K A_A Z
ارتکاضا,I R T_D A K A_A Z A N
ارتکاضات,I R T_D A K A_A Z A_A T_D
ارتکاضی,I R T_D A K A_A Z I_I
ارتکاضیت,I R T_D K A_A Z I_I J A T_D
ارتکان,I R T_D A K A_A N
ارتکیں,A R T_D A K A_Y_N
ارتھ,A R T_D_H
ارتھات,A R T_D_H A_A T_D
ارتھمیٹک,A R T_D_H A M I_I T I K
ارتھی,A R T_D_H I_I
ارتھیاں,A R T_D_H I J A_A_N
ارتھیوں,A R T_D_H I_I O_O_N
ارتہان,I R T_D I H A_A N
ارتہانا,I R T_D I H A_A N A_A
ارتہانات,I R T_D I H A_A N A_A T_D
ارتہانی,I R T_D I H A_A N I_I
ارتہانیت,I R T_D I H A_A N I_I J A T_D
ارتیاب,A R T_D I J A_A B
ارتیابا,A R T_D I J A_A B A N
ارتیابات,I R T_D I J A_A B A_A T_D
ارتیابی,A R T_D I J A_A B I_I
ارتیابیت,A R T_D I J A_A B I_I J A T_D
ارتیاح,I R T_D I J A_A
ارتیاحا,I R T_D I J A_A H A N
ارتیاحات,I R T_D I J A_A H A_A T_D
ارتیاحی,I R T_D I J A_A H I_I
ارتیاحیت,I R T_D I J A_A H I_I J A T_D
ارث,A R S
ارثا,A R S A_A
ارثم,A R S A M
ارثی,A R S I_I
ارجا,A R D_Z A_A
ارجاء,A R D_Z A_A
ارجاب,A R D_Z A_A B
ارجاع,A R D_Z A_A
ارجاعی,A R D_Z A_A I_I
ارجح,A R D_Z A_A
ارجل,A R D_Z A L
ارجمند,A R D_Z M A N D_D
ارجمندی,A R D_Z M A N D_D I_I
ارجمندیاں,A R D_Z A M A N D_D I J A_A_N
ارجمندیوں,A R D_Z M A N D_D I_I O_O_N
ارجن,A R D_Z A N
ارجنٹ,A R D_Z A N T
ارجنٹائن,A R D_Z A N T A_A I N
ارجنٹینا,A R D_Z A N T I_I N A_A
ارجوحہ,A R D_Z U_U H A_A
ارجک,A R D_Z A K
ارجھاسن,A R D_Z_H A_A S A N
ارحا,A R H A_A
ارحام,A R H A_A M
ارحم,A R H A M
ارحمی,A R H A M I_I
ارحمیاں,A R H A M I J A_A_N
ارخ,A R X
ارخا,A R X A_A
ارخالق,I R X A_A L I Q
ارد,A R D_D
ارداس,A R D_D A_A S
ارداسی,A R D_D A_A S I_I
اردب,A R D_D A B
اردز,A R D_D A Z
اردشیر,A R D_D S_H I_I R
اردعان,A R D_D A A_A N
اردل,A R D_D A L
اردلی,A R D_D A L I_I
اردلیاں,A R D_D A L J A_A_N
اردلیوں,A R D_D A L I_I O_O_N
اردم,A R D_D A M
اردن,A R D_D A N
اردنگ,A R D_D I N_G
اردو,A R D_D U_U
اردوانہ,A R D_D V A_A N A_A
اردوبازار,A R D_D O_O B A_Y Z A_A R
اردومحفل,A R D_D O_O M A H A F F U L
اردوورڈکام,A R D_D O_O V A R D A_Y K A_A M
اردوویب,A R D_D O_O V A_Y B
اردگان,A R D_D A G A_A N
اردگرد,A R D_D G A R D_D
اردھ,A R D_D_H
اردھا,A R D_D_H A_A
اردھنگ,A R D_D_H I N_G
اردھنگی,A R D_D_H A N_G G I_I
اردی,A R D_D I_I
اردین,A R D_D I_I N
ارذال,A R Z A_A L
ارذل,A R Z A L
ارذلی,A R Z A L I_I
ارذن,A R Z A N
ارز,A R Z
ارزاق,A R Z A_A Q
ارزانی,A R Z A_A N I_I
ارزاں,A R Z A_A_N
ارزب,A R Z A B
ارزش,A R Z I S_H
ارزلی,A R Z A L I_I
ارزلیاں,A R Z A L J A_A_N
ارزن,A R Z A N
ارزندہ,A R Z A N D_D A_A
ارزنگ,A R Z I N_G
ارزنگی,A R Z A N_G G I_I
ارزہ,A R Z A_A
ارزیابی,A R Z J A_A B I_I
ارزیر,A R Z I_I R
ارزیریں,A R Z I_I R A_Y_N
ارزیہ,A R Z I_I J A_A
ارس,A R A S
ارسال,A R S A_A L
ارسطو,A R S A T_D U_U
ارسل,A R S A L
ارسلان,A R S A L A_A N
ارسلہ,A R S A L A_A
ارسٹا,A R S A T A_A
ارسی,A R S I_I
ارسیلا,A R S I_I L A_A
ارش,A R S_H
ارشا,A R S_H A_A
ارشاد,I R S_H A_A D_D
ارشادات,I R S_H A_A D_D A_A T_D
ارشاش,A R S_H A_A S_H
ارشد,A R S_H A D_D
ارشدی,A R S_H A D_D I_I
ارشق,A R S_H A Q
ارشیا,A_A R S_H I J A_A
ارصاد,A R S A_A D_D
ارصادات,I R S A_A D_D A_A T_D
ارصی,A R S I_I
ارصیہ,A R S I_I J A_A
ارض,A R Z
ارضاع,I R Z A_A
ارضہ,A R Z A_A
ارضی,A R Z I_I
ارضیات,A R Z I_I J A_A T_D
ارضیاتی,A R Z I_I J A_A T_D I_I
ارضیت,A R Z I_I J A T_D
ارضین,A R Z I_I N
ارطال,A R T_D A_A L
ارغام,A R G_G A_A M
ارغن,A R G_G A N
ارغنی,A R G_G A N I_I
ارغوان,A R G_G V A_A N
ارغوانی,A R G_G V A_A N I_I
ارغواں,A R G_G A V A_A_N
ارفاہ,A R F A_A
ارفض,A R F A Z
ارفع,A R F A_A
ارفعہ,A R F A_A
ارفق,A R F A Q
ارفی,A R F I_I
ارفیہ,A R F I J A_A
ارق,A R A Q
ارقام,I R Q A_A M
ارقان,I R Q A_A N
ارقب,A R Q A B
ارقبی,A R Q A B I_I
ارقبیاں,A R Q A B J A_A_N
ارقش,A R Q A S_H
ارقشی,A R Q A S_H I_I
ارقط,A R Q A T_D
ارقطی,A R Q A T_D I_I
ارقم,A R Q A M
ارقیطون,A R Q I_I T_D U_U N
ارقیم,A R Q I_I M
ارل,A R A L
ارلد,A R L A D_D
ارم,A R A M
ارمئی,A R M A I_I
ارما,A R M A_A
ارماتر,A R M A_A T_D A R
ارماد,A R M A_A D_D
ارمال,A R M A_A L
ارمان,A R M A_A N
ارمانوں,A R M A_A N O_O_N
ارمانی,A R M A_A N I_I
ارماں,A R M A_A_N
ارمد,A R M A D_D
ارمضان,A R M A Z A_A N
ارمغان,A R M A G_G A_A N
ارمغانی,A R M A G_G A_A N I_I
ارمغاں,A R M U G_G A_A_N
ارملہ,A R M A L A_A
ارمن,A R M A N
ارمنراد,A R M A N R A_A D_D
ارمنرادی,A R M A N R A_A D_D I_I
ارمنرادیاں,A R M A N R A_A D_D I J A_A_N
ارمنی,A R M A N I_I
ارمنین,A R M A N I_I N
ارمنیں,A R M A N A_Y_N
ارمک,A R M A K
ارمی,A R M I_I
ارمین,A R M I_I N
ارمیہ,A R M I J A_A
ارن,A R A N
ارنا,A R N A_A
ارناس,A R N A_A S
ارنب,A R A N B
ارنبھ,A R A N B_H
ارنبیہ,A R A M B I J A_A
ارنوں,A R A N O_O_N
ارنڈ,A R A N D
ارنڈوں,A R A N D O_O_N
ارنڈی,A R A N D I_I
ارنی,A R N I_I
ارنیاں,A R N I J A_A_N
ارنیوں,A R N I_I O_O_N
ارنے,A R N A_Y
اروا,A R V A_A
اروائی,A R V A_A I_I
ارواح,A R V A_A
اروار,A R V A_A R
اروبا,A R U_U B A_A
اروبی,A R U_U B I_I
اروبیاں,A R U_U B I J A_A_N
اروز,A R U_U Z
اروسا,A R U_U S A_A
اروغ,A R U_U G_G
ارول,A R U_U L
ارولی,A R U_U L I_I
ارون,A R U_U N
ارونا,A R O_O N A_A
اروند,A R V A N D_D
ارونی,A R U_U N I_I
اروٹی,A R U_U T I_I
اروپ,A R U_U P
اروڑ,A R O_O R_R
اروڑھ,A R U_U R_R_H
اروگ,A R O_O G
اروگن,A R O_O G A N
اروگی,A R O_O G I_I
اروی,A R V I_I
ارٹلری,A R T A L R I_I
ارپن,A R P A N
ارڑنگی,A R R_R A N_G G I_I
ارژنگ,A R Z_Z A N_G
ارژنگی,A R Z_Z A N_G G I_I
ارک,A R K
ارکان,A R K A_A N
ارکاٹ,A R K A_A T
ارکاٹی,A R K A_A T I_I
ارکن,A R K A N
ارکنیڈا,A R K A N A_Y D A_A
ارکوک,A R K U_U K
ارکھا,A R K_H A_A
ارکہ,A R K A_A
ارگ,A R G
ارگث,A R G A S
ارگج,A R G A D_Z
ارگجا,A R G A D_Z A_A
ارگجی,A R G A D_Z I_I
ارگجے,A R G A D_Z A_Y
ارگرد,A R G A R D_D
ارگن,A R G A N
ارگند,A R G A N D_D
ارگھ,A R G_H
ارگھا,A R G_H A_A
ارگھاں,A R G_H A_A_N
ارگھیہ,A R G_H A_Y J A_A
ارہ,A R A_A
ارہاص,I R H A_A S
ارہر,A R H A R
ارہنت,A R H A N A T_D
ارہٹ,A R H A T
اری,A R I_I
اریا,A R J A_A
اریب,A R I_I B
اریبہ,A R I_I B A_A
اریبی,A R I_I B I_I
اریحہ,A R I_I H A_A
ارید,A R I_I D_D
اریدہ,A R I_I D_D A_A
اریری,A R I_I R I_I
اریس,A R I_I S
اریل,A R I_I L
ارینڈی,A R A_E N D I_I
اریوا,A R I_I V A_A
اریوی,A R I_I V I_I
اریکہ,A R I_I K A_A
ارے,A R A_Y
از,A Z
ازاحت,I Z A_A H A T_D
ازاد,A Z A_A D_D
ازادی,A Z A_A D_D I_I
ازار,A Z A_A R
ازاربند,A Z A_A R B A N D_D
ازارقہ,A Z A_A R I Q A_A
ازارہ,A Z A_A R A_A
ازاشتہ,I Z A_A S_H T_D A_A
ازالوں,A Z A_A L O_O_N
ازالہ,A Z A_A L A_A
ازالے,A Z A_A L A_Y
ازانت,A Z A_A N A T_D
ازانجا,A Z A_A N D_Z A_A
ازانجملہ,A Z N D_Z I M I L A_A
ازانہ,A Z A_A N A_A
ازاں,A Z A_A_N
ازبر,A Z B A R
ازبس,A Z B A S
ازبسکہ,A Z B A S K A_Y
ازبن,A Z B A N
ازبند,A Z B A N D_D
ازبک,A Z B A K
ازبکستان,A Z B A K I S T_D A_A N
ازبکی,A Z B A K I_I
ازبیہ,A Z B I J A_A
ازجملہ,A Z D_Z I M L A_A
ازحد,A Z H A D_D
ازحدخوشی,A Z H A_Y D_D U X O_O S_H I_I
ازحف,A Z H A F
ازخود,A Z X U_U D_D
ازداد,A Z D_D A_A D_D
ازدحام,A Z D_D I H A_A M
ازدحامی,A Z D_D I H A_A M I_I
ازدراد,A Z D_D A_Y R A_A D_D
ازدم,A Z D_D A M
ازدواج,I Z D_D I V A_A D_Z
ازدواجی,I Z D_D I V A_A D_Z I_I
ازدواچی,I Z D_D O_O A_A T_S I_I
ازدھار,A Z D_D_H A_A R
ازدھر,A Z D_D_H A R
ازدہا,A Z D_D A H A_A
ازدہام,A Z D_D I H A_A M
ازدہامی,A Z D_D A H A_A M I_I
ازدہے,A Z D_D A H A_Y
ازدیاد,A Z D_D I J A_A D_D
ازدین,A Z D_D I_I N
ازر,A Z A R
ازراہ,A Z R A_A
ازرف,A Z R A F
ازرق,A Z R A Q
ازرقی,A Z R A Q I_I
ازروی,A Z R A V I_I
ازرہ,A Z R A_A
ازسر,A Z S A R
ازسرنو,A Z S A R A_Y N O
ازعر,A Z A R
ازعلہ,A Z A L A_A
ازعم,A Z A M
ازغیبا,A Z G_G I_I B A_A
ازغیبی,A Z G_G I_I B I_I
ازغیبیا,A Z G_G I_I B I J A_A
ازل,A Z A L
ازلام,A Z L A_A M
ازلامات,A Z L A_A M A_A T_D
